1.53879e-10 2.17258
0.00308374 1.14039
0.00616749 1.09716
0.00925123 1.07158
0.012335 1.05322
0.0154187 1.03883
0.0185025 1.02693
0.0215862 1.01677
0.02467 1.00787
0.0277537 0.999934
0.0308374 0.992762
0.0339212 0.986207
0.0370049 0.980161
0.0400887 0.974542
0.0431724 0.969287
0.0462562 0.964346
0.0493399 0.959678
0.0524237 0.95525
0.0555074 0.951034
0.0585911 0.947009
0.0616749 0.943153
0.0647586 0.93945
0.0678424 0.935887
0.0709261 0.932451
0.0740099 0.929131
0.0770936 0.925917
0.0801773 0.922801
0.0832611 0.919776
0.0863448 0.916835
0.0894286 0.913972
0.0925123 0.911183
0.0955961 0.908461
0.0986798 0.905803
0.101764 0.903205
0.104847 0.900663
0.107931 0.898174
0.111015 0.895735
0.114099 0.893344
0.117182 0.890997
0.120266 0.888692
0.12335 0.886428
0.126434 0.884202
0.129517 0.882012
0.132601 0.879857
0.135685 0.877735
0.138768 0.875645
0.141852 0.873585
0.144936 0.871554
0.14802 0.86955
0.151103 0.867573
0.154187 0.865622
0.157271 0.863695
0.160355 0.861791
0.163438 0.85991
0.166522 0.858051
0.169606 0.856212
0.17269 0.854394
0.175773 0.852595
0.178857 0.850815
0.181941 0.849053
0.185025 0.847309
0.188108 0.845581
0.191192 0.84387
0.194276 0.842175
0.19736 0.840495
0.200443 0.83883
0.203527 0.837179
0.206611 0.835543
0.209695 0.833919
0.212778 0.832309
0.215862 0.830712
0.218946 0.829127
0.22203 0.827555
0.225113 0.825994
0.228197 0.824444
0.231281 0.822905
0.234365 0.821377
0.237448 0.81986
0.240532 0.818353
0.243616 0.816856
0.2467 0.815368
0.249783 0.81389
0.252867 0.812422
0.255951 0.810962
0.259035 0.809511
0.262118 0.808068
0.265202 0.806634
0.268286 0.805208
0.271369 0.80379
0.274453 0.80238
0.277537 0.800978
0.280621 0.799582
0.283704 0.798195
0.286788 0.796814
0.289872 0.79544
0.292956 0.794073
0.296039 0.792713
0.299123 0.791359
0.302207 0.790012
0.305291 0.78867
0.308374 0.787335
0.311458 0.786006
0.314542 0.784683
0.317626 0.783366
0.320709 0.782054
0.323793 0.780747
0.326877 0.779447
0.329961 0.778151
0.333044 0.776861
0.336128 0.775576
0.339212 0.774295
0.342296 0.77302
0.345379 0.77175
0.348463 0.770484
0.351547 0.769223
0.354631 0.767966
0.357714 0.766714
0.360798 0.765467
0.363882 0.764223
0.366966 0.762984
0.370049 0.761749
0.373133 0.760519
0.376217 0.759292
0.379301 0.758069
0.382384 0.75685
0.385468 0.755635
0.388552 0.754424
0.391636 0.753216
0.394719 0.752012
0.397803 0.750812
0.400887 0.749615
0.40397 0.748422
0.407054 0.747232
0.410138 0.746045
0.413222 0.744862
0.416305 0.743682
0.419389 0.742505
0.422473 0.741331
0.425557 0.74016
0.42864 0.738993
0.431724 0.737828
0.434808 0.736667
0.437892 0.735508
0.440975 0.734352
0.444059 0.733199
0.447143 0.732049
0.450227 0.730901
0.45331 0.729756
0.456394 0.728614
0.459478 0.727474
0.462562 0.726337
0.465645 0.725203
0.468729 0.724071
0.471813 0.722942
0.474897 0.721815
0.47798 0.72069
0.481064 0.719568
0.484148 0.718448
0.487232 0.71733
0.490315 0.716215
0.493399 0.715101
0.496483 0.71399
0.499567 0.712882
0.50265 0.711775
0.505734 0.71067
0.508818 0.709568
0.511902 0.708467
0.514985 0.707369
0.518069 0.706272
0.521153 0.705178
0.524237 0.704085
0.52732 0.702995
0.530404 0.701906
0.533488 0.700819
0.536571 0.699734
0.539655 0.698651
0.542739 0.69757
0.545823 0.69649
0.548906 0.695412
0.55199 0.694336
0.555074 0.693261
0.558158 0.692188
0.561241 0.691117
0.564325 0.690048
0.567409 0.68898
0.570493 0.687913
0.573576 0.686848
0.57666 0.685785
0.579744 0.684723
0.582828 0.683663
0.585911 0.682604
0.588995 0.681547
0.592079 0.680491
0.595163 0.679437
0.598246 0.678383
0.60133 0.677332
0.604414 0.676281
0.607498 0.675233
0.610581 0.674185
0.613665 0.673139
0.616749 0.672094
0.619833 0.67105
0.622916 0.670007
0.626 0.668966
0.629084 0.667926
0.632168 0.666887
0.635251 0.66585
0.638335 0.664813
0.641419 0.663778
0.644503 0.662744
0.647586 0.661711
0.65067 0.660679
0.653754 0.659648
0.656838 0.658619
0.659921 0.65759
0.663005 0.656563
0.666089 0.655536
0.669172 0.654511
0.672256 0.653486
0.67534 0.652463
0.678424 0.65144
0.681507 0.650419
0.684591 0.649399
0.687675 0.648379
0.690759 0.64736
0.693842 0.646343
0.696926 0.645326
0.70001 0.64431
0.703094 0.643295
0.706177 0.642281
0.709261 0.641268
0.712345 0.640255
0.715429 0.639244
0.718512 0.638233
0.721596 0.637223
0.72468 0.636214
0.727764 0.635205
0.730847 0.634198
0.733931 0.633191
0.737015 0.632185
0.740099 0.631179
0.743182 0.630175
0.746266 0.629171
0.74935 0.628167
0.752434 0.627165
0.755517 0.626163
0.758601 0.625162
0.761685 0.624161
0.764769 0.623162
0.767852 0.622162
0.770936 0.621164
0.77402 0.620166
0.777104 0.619168
0.780187 0.618171
0.783271 0.617175
0.786355 0.61618
0.789438 0.615185
0.792522 0.61419
0.795606 0.613196
0.79869 0.612203
0.801773 0.61121
0.804857 0.610217
0.807941 0.609225
0.811025 0.608234
0.814108 0.607243
0.817192 0.606252
0.820276 0.605262
0.82336 0.604273
0.826443 0.603284
0.829527 0.602295
0.832611 0.601306
0.835695 0.600319
0.838778 0.599331
0.841862 0.598344
0.844946 0.597357
0.84803 0.596371
